name,lastname1,lastname2,fullname,job_title,country,skills,university,company
Annika,Lietz,Fowler,Annika Lietz Fowler,Cloud Engineer,Germany,HTML; CSS; JavaScript,Technische Universit�t M�nchen,BlockchainGuru
Britney,Beck,Fowler,Britney Beck Fowler,Product Manager,Ireland,SQL; Python; AWS; Docker,University College Dublin,Technosoft Innovations
Tracey,Price,Fowler,Tracey Price Fowler,Full Stack Engineer,United Kingdom,SQL; Python; AWS; Docker,University of Cambridge,AITech Solutions
Scarlett,West,Fowler,Scarlett West Fowler,IoT Solutions Architect,United Kingdom,AWS; Docker; Azure; Power BI,University of Cambridge,AITech Solutions
Frida,Leivestad,Fowler,Frida Leivestad Fowler,Cybersecurity Analyst,Norway,Python; TensorFlow; Scikit-learn,University of Oslo,AIResearchLab
Hilda,Angulo,Fox,Hilda Angulo Fox,Data Scientist,Mexico,Unity; Unreal Engine; C#,Universidad Nacional Aut�noma de M�xico,Technosoft Innovations
Brooklyn,Moore,Frederiks,Brooklyn Moore Frederiks,Cloud Architect,United States,AWS; Azure; Terraform,Massachusetts Institute of Technology,TechPro Inc.
Ava,Thompson,French,Ava Thompson French,Product Manager,New Zealand,Solidity; Ethereum; Hyperledger,University of Auckland,TechPro Inc.
Berta,Vergara,Frydenberg,Berta Vergara Frydenberg,Game Developer,Mexico,SQL; Oracle,Universidad Nacional Aut�noma de M�xico,Technosoft Innovations
Isabella,French,Fuentes,Isabella French Fuentes,Data Engineering Specialist,Canada,HTML; CSS; JavaScript,University of Toronto,Intellitech Innovations
Ronja,Kujala,Fuentes,Ronja Kujala Fuentes,Software Developer,Finland,Collibra; Alation; Talend,Aalto University,CyberSec Advisors
Gladys,Horton,Fuentes,Gladys Horton Fuentes,Penetration Tester,United States,Docker; Kubernetes; Ansible,Massachusetts Institute of Technology,TechPro Inc.
Emilia,Kujala,Fuentes,Emilia Kujala Fuentes,Cybersecurity Analyst,Finland,R; SQL; Tableau,Aalto University,CyberSec Advisors
Joyce,Long,Fuller,Joyce Long Fuller,Cloud Architect,United States,AWS Lambda; Azure Functions; Google Cloud Functions,Massachusetts Institute of Technology,TechPro Inc.
Antonia,Cruz,Fuller,Antonia Cruz Fuller,Data Engineering Specialist,Spain,Swift; Kotlin; Flutter,Universidad Complutense de Madrid,Mobiliti Software
Neea,Anttila,Gagn,Neea Anttila Gagn,Frontend Developer,Finland,Angular; React; Node.js,Aalto University,CyberSec Advisors
Lena,Roux,Gagn,Lena Roux Gagn,IoT Developer,France,Qiskit; Cirq; Pennylane,Universit� Paris-Saclay,DataHub Analytics
Tanya,Murphy,Galindo,Tanya Murphy Galindo,Cloud Engineer,United States,Splunk; Wireshark; Nmap,Massachusetts Institute of Technology,TechPro Inc.
Juliette,Ennis,Galka,Juliette Ennis Galka,Cloud Engineer,Canada,Python; R,University of Toronto,Intellitech Innovations
Stephanie,Garrett,Galyuk,Stephanie Garrett Galyuk,Blockchain Developer,United States,R; TensorFlow; C++; Qt,Massachusetts Institute of Technology,TechPro Inc.
Dirkje,Graus,Gamboa,Dirkje Graus Gamboa,Data Engineering Specialist,Netherlands,Python; TensorFlow; Natural Language Processing,Delft University of Technology,CyberShield Consulting
Sharon,Thompson,Gamboa,Sharon Thompson Gamboa,Blockchain Developer,United Kingdom,Cisco; Networking,University of Cambridge,AITech Solutions
Dalia,Amador,Gamskar,Dalia Amador Gamskar,DevOps Engineer,Mexico,React; Angular; Vue.js,Universidad Nacional Aut�noma de M�xico,Technosoft Innovations
Nicole,Morgan,Garca,Nicole Morgan Garca,Frontend Developer,United States,Solidity; Ethereum; Hyperledger,Massachusetts Institute of Technology,TechPro Inc.
Maddison,Hunt,Garca,Maddison Hunt Garca,Penetration Tester,United Kingdom,Node.js; Raspberry Pi; MQTT,University of Cambridge,AITech Solutions
Mia,Mackay,Gardner,Mia Mackay Gardner,Blockchain Developer,Canada,Adobe Photoshop; Sketch,University of Toronto,Intellitech Innovations
Prathiksha,Manjunath,Garnier,Prathiksha Manjunath Garnier,Devops Engineer,India,Collibra; Alation; Talend,Indian Institute of Technology Delhi,Mobiliti Software
Beth,Burke,Garnier,Beth Burke Garnier,Cloud Engineer,Australia,SQL; Python; AWS; Docker,University of Sydney,Commonwealth Bank
Soledad,Cruz,Garrett,Soledad Cruz Garrett,IoT Solutions Architect,Spain,Power BI; Tableau; SQL,Universidad Complutense de Madrid,Mobiliti Software
Grace,Thomas,Garrido,Grace Thomas Garrido,Network Administrator,New Zealand,Network Security; Ethical Hacking; SQL; Python,University of Auckland,Mobiliti Software
Snizhana,Gerashchenko,Gauthier,Snizhana Gerashchenko Gauthier,Cybersecurity Analyst,Ukraine,Angular; React; Node.js,University of Kiev,AITech Solutions
Lucena,Gomes,Gauthier,Lucena Gomes Gauthier,Product Manager,Brazil,Collibra; Alation; Talend,Universidade de S�o Paulo,DevOps Masters
Nieves,Ramos,Geissler,Nieves Ramos Geissler,Cybersecurity Consultant,Spain,Node.js; Raspberry Pi; MQTT,Universidad Complutense de Madrid,Mobiliti Software
Jol,Kuijf,George,Jol Kuijf George,Front-end Developer,Netherlands,PyTorch; TensorFlow; Natural Language Processing,Delft University of Technology,CyberShield Consulting
Kata,Puls,George,Kata Puls George,Cloud Engineer,Germany,PyTorch; TensorFlow; Natural Language Processing,Technische Universit�t M�nchen,BlockchainGuru
Maeva,Clark,Gerard,Maeva Clark Gerard,Cybersecurity Consultant,Canada,Agile; Scrum; User Research,University of Toronto,Intellitech Innovations
Elizabeth,Johnson,Gerber,Elizabeth Johnson Gerber,Embedded Systems Specialist,Canada,AWS; Docker; Azure; Power BI,University of Toronto,Intellitech Innovations
Deborah,Banks,Gerus,Deborah Banks Gerus,Business Intelligence Analyst,Ireland,AWS Lambda; Azure Functions; Google Cloud Functions,University College Dublin,Mobiliti Software
Maria,Hall,Gibson,Maria Hall Gibson,Cybersecurity Consultant,New Zealand,Network Security; Ethical Hacking; Kubernetes; Jenkins,University of Auckland,CyberSec Advisors
Hema,Acharya,Gijn,Hema Acharya Gijn,Data Engineering Specialist,India,Solidity; Ethereum; Hyperledger,Indian Institute of Technology Delhi,TechPro Inc.
Mia,Lee,Gil,Mia Lee Gil,Big Data Engineer,New Zealand,Qiskit; Cirq; Pennylane,University of Auckland,GameDev Studios
Liva,Mortensen,Gill,Liva Mortensen Gill,Data Scientist,Denmark,PyTorch; TensorFlow; Natural Language Processing,Technical University of Denmark,GameDev Studios
Angie,Carroll,Gill,Angie Carroll Gill,UI/UX Designer,Ireland,Splunk; Wireshark; Kali Linux,University College Dublin,BlockchainGuru
Irene,Esteban,Gimnez,Irene Esteban Gimnez,Blockchain Developer,Spain,R; TensorFlow; Kubernetes; Jenkins,Universidad Complutense de Madrid,Mobiliti Software
Consuelo,Ibez,Girard,Consuelo Ibez Girard,Data Governance Specialist,Spain,Arduino; Raspberry Pi; C++,Universidad Complutense de Madrid,Mobiliti Software
Likhitha,Shukla,Girard,Likhitha Shukla Girard,Quantum Computing Researcher,India,Network Security; Ethical Hacking; SQL; Python,Indian Institute of Technology Delhi,Mobiliti Software
Nina,George,Girard,Nina George Girard,Data Scientist,Australia,Python; Machine Learning,University of Sydney,Commonwealth Bank
Miriam,Kramer,Giraud,Miriam Kramer Giraud,Artificial Intelligence Specialist,Germany,ROS; Arduino; Python,Technische Universit�t M�nchen,BlockchainGuru
Marilyn,Steeves,Giraud,Marilyn Steeves Giraud,Blockchain Security Analyst,United States,Docker; Kubernetes,Massachusetts Institute of Technology,TechPro Inc.
Ariana,Harris,Giraud,Ariana Harris Giraud,UI/UX Designer,New Zealand,Network Security; Ethical Hacking; SQL; Python,University of Auckland,Intellitech Innovations
Susete,Almeida,Glatz,Susete Almeida Glatz,Game Developer,Brazil,Python; TensorFlow; Natural Language Processing,Universidade de S�o Paulo,DevOps Masters
Mara,Teresa Henrquez,Glushchenko,Mara Teresa Henrquez Glushchenko,Robotics Specialist,Mexico,SQL; Oracle,Universidad Nacional Aut�noma de M�xico,Technosoft Innovations
Romina,Tafur,Goicochea,Romina Tafur Goicochea,Data Engineering Specialist,Peru,Python; Machine Learning,University of Lima,Inka Kola
Alcione,Arago,Gomez,Alcione Arago Gomez,Software Developer,Brazil,Cisco; Networking,Universidade de S�o Paulo,DevOps Masters
Sara,Christiansen,Gomez,Sara Christiansen Gomez,Embedded Systems Specialist,Denmark,HTML; CSS; JavaScript,Technical University of Denmark,GameDev Studios
Marion,Nichols,Gomez,Marion Nichols Gomez,Front-end Engineer,Australia,PyTorch; TensorFlow; Natural Language Processing,University of Sydney,Commonwealth Bank
Carola,Hgel,Gonzales,Carola Hgel Gonzales,Artificial Intelligence Specialist,Germany,Splunk; Wireshark; Kali Linux,Technische Universit�t M�nchen,BlockchainGuru
Magdalena,Nebel,Gonzalez,Magdalena Nebel Gonzalez,Robotics Engineer,Germany,AWS; Azure; Terraform,Technische Universit�t M�nchen,BlockchainGuru
Perla,Barreto,Gonzlez,Perla Barreto Gonzlez,Mobile App Developer,Mexico,SQL; Python; Node.js; MongoDB,Universidad Nacional Aut�noma de M�xico,Technosoft Innovations
Lucy,Olivier,Gooijer,Lucy Olivier Gooijer,Devops Engineer,France,AWS; Azure,Universit� Paris-Saclay,DataHub Analytics
Rose,Espenes,Gordon,Rose Espenes Gordon,UI/UX Designer,Norway,PyTorch; TensorFlow; Natural Language Processing,University of Oslo,AIResearchLab
Manon,Laurent,Goudriaan,Manon Laurent Goudriaan,Web Developer,France,Swift; Kotlin; Flutter,Universit� Paris-Saclay,DataHub Analytics
Makivka,Kozak,Goulooze,Makivka Kozak Goulooze,Mobile App Developer,Ukraine,PyTorch; TensorFlow; Natural Language Processing,University of Kiev,AIResearchLab
Amelia,Walker,Gouw,Amelia Walker Gouw,Artificial Intelligence Specialist,New Zealand,Splunk; Wireshark; Kali Linux,University of Auckland,Technosoft Innovations
Morgane,Roux,Granados,Morgane Roux Granados,Full stack Engineer,France,Unity; Unreal Engine; C#,Universit� Paris-Saclay,DataHub Analytics
Crystal,Matthews,Graves,Crystal Matthews Graves,Database Administrator,United States,Arduino; Raspberry Pi; C++,Massachusetts Institute of Technology,TechPro Inc.
Addison,White,Gray,Addison White Gray,Network Administrator,Canada,HTML; CSS; JavaScript,University of Toronto,Intellitech Innovations
Isabel,Villagmez,Gray,Isabel Villagmez Gray,Data Scientist,Mexico,Power BI; Tableau; SQL,Universidad Nacional Aut�noma de M�xico,Technosoft Innovations
Aida,Castellanos,Green,Aida Castellanos Green,Cybersecurity Analyst,Mexico,Agile; Scrum; Product Roadmapping,Universidad Nacional Aut�noma de M�xico,Technosoft Innovations
Thea,Jrgensen,Green,Thea Jrgensen Green,Front-end Engineer,Denmark,Solidity; Ethereum; Hyperledger,Technical University of Denmark,GameDev Studios
Roco,Hidalgo,Gregory,Roco Hidalgo Gregory,Devops Engineer,Mexico,Java; Spring Framework,Universidad Nacional Aut�noma de M�xico,Technosoft Innovations
Amelia,Harcourt,Gregory,Amelia Harcourt Gregory,Web Developer,Canada,Java; Spring Framework,University of Toronto,Intellitech Innovations
Agathe,Jahren,Grewal,Agathe Jahren Grewal,Cybersecurity Analyst,Norway,ROS; Python; Control Theory,University of Oslo,AIResearchLab
Ariane,Roy,Grewal,Ariane Roy Grewal,Cloud Engineer,Canada,Collibra; Alation; Talend,University of Toronto,Intellitech Innovations
Natividad,Alemn,Griffin,Natividad Alemn Griffin,Cloud Engineer,Mexico,JavaScript; React,Universidad Nacional Aut�noma de M�xico,Technosoft Innovations
Alexandra,Bourgeois,Griffin,Alexandra Bourgeois Griffin,Big Data Engineer,France,PyTorch; TensorFlow; Natural Language Processing,Universit� Paris-Saclay,DataHub Analytics
Elsie,Williams,Grushevskiy,Elsie Williams Grushevskiy,Robotics Specialist,United States,ROS; Arduino; Python,Massachusetts Institute of Technology,TechPro Inc.
Hristya,Vertinska,Guillot,Hristya Vertinska Guillot,Artificial Intelligence Specialist,Ukraine,HTML; CSS; JavaScript,University of Kiev,TechPro Inc.
Stefanie,Pott,Guillot,Stefanie Pott Guillot,Artificial Intelligence Specialist,Germany,Android Development; Kotlin; Azure; Power BI,Technische Universit�t M�nchen,BlockchainGuru
Elsa,Nord,Gupta,Elsa Nord Gupta,Game Developer,Norway,Network Security; Ethical Hacking; Kubernetes; Jenkins,University of Oslo,AIResearchLab
Catalina,Diaz,Gutierrez,Catalina Diaz Gutierrez,Data Scientist,Argentina,R; SQL; Tableau,Universidad de Buenos Aires,DataPro Analytics
Gabriela,Diaz,Gutierrez,Gabriela Diaz Gutierrez,Mobile App Developer,Spain,Swift; Kotlin; Flutter,Universidad Complutense de Madrid,MobileApp Solutions
Samantha,Chen,Gutierrez,Samantha Chen Gutierrez,DevOps Engineer,New Zealand,HTML; CSS; JavaScript,University of Auckland,TechPro Inc.
Taciana,da Paz,Gutirrez,Taciana da Paz Gutirrez,Cloud Engineer,Brazil,Node.js; Raspberry Pi; MQTT,Universidade de S�o Paulo,DevOps Masters
Glden,Laarman,Guttormsen,Glden Laarman Guttormsen,Cybersecurity Analyst,Netherlands,Arduino; Raspberry Pi; C++,Delft University of Technology,CyberShield Consulting
Phoebe,Johnson,Guzmn,Phoebe Johnson Guzmn,Blockchain Developer,New Zealand,Figma; Sketch; Adobe XD,University of Auckland,CyberSec Advisors
Chloe,Li,Haataja,Chloe Li Haataja,Blockchain Security Analyst,Canada,HTML; CSS; C++; Qt,University of Toronto,Intellitech Innovations
Juana,Longoria,Hakala,Juana Longoria Hakala,Serverless Solutions Architect,Mexico,Cisco; Networking,Universidad Nacional Aut�noma de M�xico,Technosoft Innovations
Trinidad,Marn,Hale,Trinidad Marn Hale,Data Engineering Specialist,Spain,HTML; CSS,Universidad Complutense de Madrid,Mobiliti Software
Silo,Melo,Hale,Silo Melo Hale,Software Developer,Brazil,Qiskit; Cirq; Pennylane,Universidade de S�o Paulo,DevOps Masters
Alma,Knight,Halko,Alma Knight Halko,Web Developer,Australia,Splunk; Wireshark; Kali Linux,University of Sydney,Commonwealth Bank
Brittany,Rice,Hall,Brittany Rice Hall,Big Data Engineer,Australia,Angular; React; Node.js,University of Sydney,Commonwealth Bank
Amber,Reed,Halla,Amber Reed Halla,Serverless Architect,Ireland,Python; R,University College Dublin,GameDev Studios
Lydian,Dukker,Halla,Lydian Dukker Halla,Embedded Systems Engineer,Netherlands,Python; Matlab; Pandas,Delft University of Technology,CyberShield Consulting
Scarlett,Matthews,Halman,Scarlett Matthews Halman,Software Developer,United States,AWS; Azure,Massachusetts Institute of Technology,TechPro Inc.
Blanca,Duran,Hamilton,Blanca Duran Hamilton,Artificial Intelligence Engineer,Spain,SQL; Oracle,Universidad Complutense de Madrid,Mobiliti Software
Isla,Jones,Hammes,Isla Jones Hammes,Cloud Infrastructure Engineer,New Zealand,Swift; Kotlin; Flutter,University of Auckland,TechPro Inc.
Eevi,Nurmi,Hamre,Eevi Nurmi Hamre,Web Developer,Finland,PyTorch; TensorFlow; Natural Language Processing,Aalto University,CyberSec Advisors
Urszula,Strau,Hanenko,Urszula Strau Hanenko,DevOps Engineer,Germany,Agile; Scrum; Product Roadmapping,Technische Universit�t M�nchen,BlockchainGuru
Delal,Schneiders,Hansen,Delal Schneiders Hansen,Embedded Systems Specialist,Netherlands,ROS; Python; Control Theory,Delft University of Technology,CyberShield Consulting
Irene,Teske,Hansen,Irene Teske Hansen,Data Scientist,Germany,Collibra; Alation; Talend,Technische Universit�t M�nchen,BlockchainGuru
Katherine,Johnston,Hansen,Katherine Johnston Hansen,Data Scientist,United Kingdom,Solidity; Ethereum; Hyperledger,University of Cambridge,AITech Solutions
Lily,White,Hansen,Lily White Hansen,Product Manager,New Zealand,Python; R,University of Auckland,DataHub Analytics
Emelie,Fosse,Hansen,Emelie Fosse Hansen,Network Administrator,Norway,Unity; Unreal Engine; C#,University of Oslo,AIResearchLab
Peppi,Lauri,Harchuk,Peppi Lauri Harchuk,Data Governance Specialist,Finland,ROS; Python; Control Theory,Aalto University,CyberSec Advisors
Prisha,Chavare,Harcourt,Prisha Chavare Harcourt,Artificial Intelligence Researcher,India,React; Angular; Vue.js,Indian Institute of Technology Delhi,CyberSec Advisors
Angela,Flores,Harju,Angela Flores Harju,Cloud Infrastructure Engineer,Spain,Solidity; Ethereum; Hyperledger,Universidad Complutense de Madrid,Mobiliti Software
Madeleine,Lvold,Harju,Madeleine Lvold Harju,Cloud Infrastructure Engineer,Norway,Unity; Unreal Engine; C#,University of Oslo,AIResearchLab
Neea,Manni,Harper,Neea Manni Harper,Network Administrator,Finland,ROS; Python; Control Theory,Aalto University,CyberSec Advisors
Ninon,Deschamps,Harper,Ninon Deschamps Harper,Devops Engineer,France,Python; R,Universit� Paris-Saclay,DataHub Analytics
Kelly,Harrison,Harris,Kelly Harrison Harris,UI/UX Designer,Ireland,Figma; Sketch; Adobe XD,University College Dublin,AIResearchLab
Malena,Sther,Harris,Malena Sther Harris,Artificial Intelligence Specialist,Norway,Splunk; Wireshark; Kali Linux,University of Oslo,AIResearchLab
Korneliya,Borsuk,Harris,Korneliya Borsuk Harris,DevOps Engineer,Ukraine,Docker; Kubernetes; Ansible,University of Kiev,Mobiliti Software
Urte,Bjerkvik,Harris,Urte Bjerkvik Harris,Serverless Solutions Architect,Norway,React; Angular; Vue.js,University of Oslo,AIResearchLab
Julie,Jensen,Harris,Julie Jensen Harris,Robotics Specialist,Denmark,Solidity; Ethereum; Hyperledger,Technical University of Denmark,GameDev Studios
Emilie,Martin,Harris,Emilie Martin Harris,Artificial Intelligence Specialist,Canada,Agile; Scrum; Product Roadmapping,University of Toronto,Intellitech Innovations
Rebecca,Taylor,Harris,Rebecca Taylor Harris,Cybersecurity Consultant,United States,PyTorch; TensorFlow; Natural Language Processing,Massachusetts Institute of Technology,TechPro Inc.
Fedora,Udovichenko,Harris,Fedora Udovichenko Harris,Artificial Intelligence Specialist,Ukraine,Docker; Kubernetes; Ansible,University of Kiev,Intellitech Innovations
Charlotte,Johnson,Harris,Charlotte Johnson Harris,Data Engineering Specialist,Canada,R; TensorFlow; Kubernetes; Jenkins,University of Toronto,Intellitech Innovations
Jackie,Lee,Harrison,Jackie Lee Harrison,Cybersecurity Consultant,Australia,Splunk; Wireshark; Nmap,University of Sydney,Commonwealth Bank
Jade,Lvesque,Harrison,Jade Lvesque Harrison,Mobile App Developer,Canada,Network Security; Ethical Hacking; SQL; Python,University of Toronto,Intellitech Innovations
Rachel,Lawrence,Harter,Rachel Lawrence Harter,Serverless Architect,Ireland,Python; TensorFlow; Scikit-learn,University College Dublin,Commonwealth Bank
Adriana,Lira,Hartwich,Adriana Lira Hartwich,UI/UX Designer,Mexico,Cisco; Linux; Wireshark,Universidad Nacional Aut�noma de M�xico,Technosoft Innovations
Brooklyn,King,Harvey,Brooklyn King Harvey,Business Intelligence Analyst,New Zealand,R; TensorFlow; C++; Qt,University of Auckland,DevOps Masters
Chlo,Martinez,Harvey,Chlo Martinez Harvey,UI/UX Designer,France,AWS; Azure; Terraform,Universit� Paris-Saclay,DataHub Analytics
Melissa,Fitzpatrick,Harvey,Melissa Fitzpatrick Harvey,Full stack Engineer,Ireland,Angular; React; Node.js,University College Dublin,DataHub Analytics
Cathy,Palmer,Haugvaldstad,Cathy Palmer Haugvaldstad,Cloud Infrastructure Engineer,Ireland,Splunk; Wireshark; Kali Linux,University College Dublin,DevOps Masters
Veronika,Stupnickiy,Huler,Veronika Stupnickiy Huler,Software Developer,Ukraine,React; Angular; Vue.js,University of Kiev,Mobiliti Software
Bharathy,Sullad,Hawkins,Bharathy Sullad Hawkins,Cybersecurity Consultant,India,Android Development; Kotlin; Azure; Power BI,Indian Institute of Technology Delhi,GameDev Studios
Sara,Tuomi,Hawkins,Sara Tuomi Hawkins,UI/UX Designer,Finland,Qiskit; Cirq; Pennylane,Aalto University,CyberSec Advisors
Carolyn,Fields,Hayes,Carolyn Fields Hayes,Cloud Engineer,United Kingdom,HTML; CSS; JavaScript,University of Cambridge,AITech Solutions
Minttu,Couri,Hebnes,Minttu Couri Hebnes,DevOps Engineer,Finland,HTML; CSS; JavaScript,Aalto University,CyberSec Advisors
Isabella,Barnaby,Heerdink,Isabella Barnaby Heerdink,Blockchain Security Analyst,Canada,Figma; Sketch; Adobe XD,University of Toronto,Intellitech Innovations
Phoebe,Kelley,Heikkila,Phoebe Kelley Heikkila,Data Governance Analyst,Ireland,React; Angular; Vue.js,University College Dublin,TechPro Inc.
Leila,da Conceicao,Heikkinen,Leila da Conceicao Heikkinen,Artificial Intelligence Researcher,Brazil,Splunk; Wireshark; Kali Linux,Universidade de S�o Paulo,DevOps Masters
Vernica,Regalado,Heltne,Vernica Regalado Heltne,Cloud Engineer,Mexico,Swift; Kotlin; Flutter,Universidad Nacional Aut�noma de M�xico,Technosoft Innovations
Rosa,Petersen,Helvert,Rosa Petersen Helvert,Front-end Developer,Denmark,JavaScript; React,Technical University of Denmark,GameDev Studios
Elli,Korpi,Hennecke,Elli Korpi Hennecke,Data Engineering Specialist,Finland,Docker; Kubernetes; Ansible,Aalto University,CyberSec Advisors
Sophia,Rivera,Henrquez,Sophia Rivera Henrquez,Artificial Intelligence Specialist,United Kingdom,Adobe Photoshop; Sketch,University of Cambridge,AITech Solutions
Karla,Petersen,Heppner,Karla Petersen Heppner,Data Governance Specialist,Denmark,Solidity; Ethereum; Hyperledger,Technical University of Denmark,GameDev Studios
Alma,Limn,Hermes,Alma Limn Hermes,Cloud Engineer,Mexico,Power BI; Tableau; SQL,Universidad Nacional Aut�noma de M�xico,Technosoft Innovations
Brittany,Ferguson,Hernandez,Brittany Ferguson Hernandez,Quantum Computing Specialist,Australia,Python; TensorFlow; Scikit-learn,University of Sydney,Commonwealth Bank
Estelle,Philippe,Hernndez,Estelle Philippe Hernndez,Network Architect,France,Splunk; Wireshark; Kali Linux,Universit� Paris-Saclay,DataHub Analytics
Valentina,Castro,Herrera,Valentina Castro Herrera,Full stack Engineer,Colombia,Angular; React; Node.js,Universidad de los Andes,Globex Corporation
Alejandra,Flores,Herrera,Alejandra Flores Herrera,Cybersecurity Consultant,Finland,Splunk; Wireshark; Nmap,Aalto University,CyberSec Advisors
Catalina,Flores,Herrera,Catalina Flores Herrera,Web Developer,Poland,HTML; CSS; JavaScript,AGH University of Science and Technology,WebWorksStudio
Jean,Bijkerk,Herrera,Jean Bijkerk Herrera,Penetration Tester,Netherlands,Matplotlib; Pandas; Azure; Power BI,Delft University of Technology,CyberShield Consulting
Leanne,Chow,Herrera,Leanne Chow Herrera,Full stack Engineer,Canada,Docker; Kubernetes; Ansible,University of Toronto,Intellitech Innovations
Inna,Manoylo,Herrera,Inna Manoylo Herrera,Blockchain Developer,Ukraine,Cisco; Linux; Wireshark,University of Kiev,Mobiliti Software
Sofia,Wilson,Herrero,Sofia Wilson Herrero,Artificial Intelligence Researcher,New Zealand,Unity; Unreal Engine; C#,University of Auckland,BlockchainGuru
Kate,Jones,Hetland,Kate Jones Hetland,Network Architect,New Zealand,Swift; Kotlin; Flutter,University of Auckland,Mobiliti Software
Bernice,Reid,Hidalgo,Bernice Reid Hidalgo,Software Developer,United States,React; Angular; Vue.js,Massachusetts Institute of Technology,TechPro Inc.
Gabriela,Hiby,Hietala,Gabriela Hiby Hietala,Game Developer,Norway,AWS; Docker; Azure; Power BI,University of Oslo,AIResearchLab
Lilou,Marchand,Hill,Lilou Marchand Hill,Network Administrator,France,AWS; Azure; Terraform,Universit� Paris-Saclay,DataHub Analytics
Maiara,Teixeira,Hjulstad,Maiara Teixeira Hjulstad,Robotics Engineer,Brazil,JavaScript; React,Universidade de S�o Paulo,DevOps Masters
Sarah,Clark,Hodne,Sarah Clark Hodne,Cybersecurity Consultant,Canada,React; Angular; Vue.js,University of Toronto,Intellitech Innovations
Sushma,Mathew,Hoeve,Sushma Mathew Hoeve,Cybersecurity Analyst,India,PyTorch; TensorFlow; Natural Language Processing,Indian Institute of Technology Delhi,Technosoft Innovations
Matilda,Koistinen,Hogendorp,Matilda Koistinen Hogendorp,Quantum Computing Researcher,Finland,SQL; Oracle,Aalto University,CyberSec Advisors
Ladomila,Babyak,Holland,Ladomila Babyak Holland,Cloud Engineer,Ukraine,Docker; Kubernetes; Ansible,University of Kiev,DataHub Analytics
Alberte,Mortensen,Holland,Alberte Mortensen Holland,Cloud Infrastructure Engineer,Denmark,React; Angular; Vue.js,Technical University of Denmark,GameDev Studios
Rosa,Mortensen,Holmes,Rosa Mortensen Holmes,Software Developer,Denmark,Matplotlib; Pandas; Azure; Power BI,Technical University of Denmark,GameDev Studios
Cecilie,Christensen,Holmes,Cecilie Christensen Holmes,Quantum Computing Researcher,Denmark,AWS; Azure; Terraform,Technical University of Denmark,GameDev Studios
Shravya,Belligatti,Holmgren,Shravya Belligatti Holmgren,UI/UX Designer,India,Splunk; Wireshark; Kali Linux,Indian Institute of Technology Delhi,BlockchainGuru
Nadine,Schauer,Holt,Nadine Schauer Holt,Web Developer,Germany,Adobe Photoshop; Sketch,Technische Universit�t M�nchen,BlockchainGuru
Kathy,Larson,Holvik,Kathy Larson Holvik,Web Developer,United Kingdom,React; Angular; Vue.js,University of Cambridge,AITech Solutions
Milagros,Velasco,Holzer,Milagros Velasco Holzer,Mobile App Developer,Spain,AWS; Azure; Terraform,Universidad Complutense de Madrid,Mobiliti Software
Mercedes,Montero,Hooiveld,Mercedes Montero Hooiveld,Mobile App Developer,Spain,R; TensorFlow; Kubernetes; Jenkins,Universidad Complutense de Madrid,Mobiliti Software
Chaitra,Gatty,Horunzhiy,Chaitra Gatty Horunzhiy,UI/UX Designer,India,ROS; Arduino; Python,Indian Institute of Technology Delhi,Mobiliti Software
Marie,Guerin,Howell,Marie Guerin Howell,Data Scientist,France,Python; Machine Learning,Universit� Paris-Saclay,DataHub Analytics
Milena,Oliveira,Howell,Milena Oliveira Howell,Machine Learning Engineer,Brazil,React; Angular; Vue.js,Universidade de S�o Paulo,DevOps Masters
Edilene,Rezende,Howell,Edilene Rezende Howell,IoT Developer,Brazil,ROS; Python; Control Theory,Universidade de S�o Paulo,DevOps Masters
Nelli,Takala,Hughes,Nelli Takala Hughes,Mobile App Developer,Finland,Agile; Scrum; Product Roadmapping,Aalto University,CyberSec Advisors
Jessica,Martin,Hughes,Jessica Martin Hughes,Blockchain Security Analyst,New Zealand,Splunk; Wireshark; Nmap,University of Auckland,Mobiliti Software
Blanca,Lorenzo,Hughes,Blanca Lorenzo Hughes,Game Developer,Spain,Cisco; Linux; Wireshark,Universidad Complutense de Madrid,Mobiliti Software
Beatriz,Marn,Hughes,Beatriz Marn Hughes,Machine Learning Scientist,Spain,Python; Machine Learning,Universidad Complutense de Madrid,Mobiliti Software
Maya,Chu,Hunt,Maya Chu Hunt,Data Engineering Specialist,Canada,React; Angular; Vue.js,University of Toronto,Intellitech Innovations
Oona,Rautio,Hunt,Oona Rautio Hunt,Database Administrator,Finland,Collibra; Alation; Talend,Aalto University,CyberSec Advisors
Tanvi,Chatterjee,Hunt,Tanvi Chatterjee Hunt,Product Manager,India,Splunk; Wireshark; Kali Linux,Indian Institute of Technology Delhi,AITech Solutions
Sessa,Pulido,Hunter,Sessa Pulido Hunter,Frontend Developer,Mexico,Android Development; Kotlin; Azure; Power BI,Universidad Nacional Aut�noma de M�xico,Technosoft Innovations
Freja,Kristensen,Hunter,Freja Kristensen Hunter,Artificial Intelligence Engineer,Denmark,Cisco; Networking,Technical University of Denmark,GameDev Studios
Ylse,Bierman,Huotari,Ylse Bierman Huotari,Data Scientist,Netherlands,Network Security; Ethical Hacking; Kubernetes; Jenkins,Delft University of Technology,CyberShield Consulting
Carolyn,Taylor,Huse,Carolyn Taylor Huse,Network Architect,United Kingdom,ROS; Arduino; Python,University of Cambridge,AITech Solutions
